part_index,copy_count,copy_index,angle,center_x_mm,center_y_mm
0,1,0,0.0,31.25,69.25
1,1,0,180.0,57.75,48.75
2,1,0,0.0,68.5,25.75
3,1,0,0.0,93.25,17.5
4,1,0,0.0,43.25,17.5
5,1,0,90.0,121.5,42.0
6,1,0,90.0,75.0,88.5
7,1,0,0.0,67.25,68.75
8,1,0,90.0,93.5,83.25
9,1,0,90.0,107.0,73.75
10,1,0,90.0,87.0,50.25
11,1,0,270.0,130.0,31.25
12,1,0,270.0,119.0,67.25
13,1,0,270.0,127.0,60.75
14,1,0,180.0,13.75,33.5
15,1,0,270.0,68.25,6.25
16,1,0,90.0,18.25,19.25
17,1,0,90.0,83.25,61.75
18,1,0,0.0,113.75,18.75
19,1,0,270.0,144.75,73.5
20,1,0,0.0,134.0,22.75
21,1,0,90.0,137.75,79.25
22,1,0,0.0,131.75,16.25
23,1,0,180.0,13.5,55.0
24,1,0,270.0,95.5,61.0
25,1,0,270.0,15.75,12.75
26,1,0,270.0,20.75,6.75
27,1,0,270.0,124.25,9.75
28,1,0,270.0,113.25,3.75
29,1,0,0.0,85.5,72.25
30,1,0,0.0,141.0,50.25
31,1,0,180.0,7.0,64.5
32,1,0,90.0,129.0,84.5
33,1,0,0.0,118.0,83.5
34,1,0,270.0,21.25,49.0
35,1,0,90.0,53.75,64.5
36,1,0,0.0,123.0,90.75
